skos:notation,skos:prefLabel,skos:altLabel,nypl:collectionType,nypl:deliveryLocationType,nypl:actualLocation,dcterms:isPartOf,nypl:owner,nypl:requestable,nypl:deliverableTo,nypl:recapCustomerCode,nypl:allowSierraHold,nypl:locationsSlug,nypl:deliverableToResolution
dhj0t,Dongan Hills Children's Fairy Tale,Dongan Hills Children's Fairy Tale,Branch,,,dh,,false,,,true,,
dhj0v,Dongan Hills Children's Non-Print Media,Dongan Hills Children's Non-Print Media,Branch,,,dh,,false,,,true,,
dhj0y,Dongan Hills Children's Young Reader,Dongan Hills Children's Young Reader,Branch,,,dh,,false,,,true,,
dhjlf,Dongan Hills Children's Read-Along Book Fiction,Dongan Hills Children's Read-Along Book Fiction,Branch,,,dh,,false,,,true,,
dhjln,Dongan Hills Children's Read-Along Book Non-Fiction,Dongan Hills Children's Read-Along Book Non-Fiction,Branch,,,dh,,false,,,true,,
dhjr,Dongan Hills Children's Reference,Dongan Hills Children's Reference,Branch,,,dh,,false,,,true,,
dhy,Dongan Hills Young Adult,Dongan Hills Young Adult,Branch,,,dh,,false,,,true,,
dhy01,Dongan Hills YA Reference,Dongan Hills YA Reference,Branch,,,dh,,false,,,true,,
dhy0f,Dongan Hills YA Fiction,Dongan Hills YA Fiction,Branch,,,dh,,false,,,true,,
dhy0l,Dongan Hills YA World Languages,Dongan Hills YA World Languages,Branch,,,dh,,false,,,true,,
dhy0n,Dongan Hills YA Non-Fiction,Dongan Hills YA Non-Fiction,Branch,,,dh,,false,,,true,,
dhy0v,Dongan Hills YA Non-Print Media,Dongan Hills YA Non-Print Media,Branch,,,dh,,false,,,true,,
dhyr,Dongan Hills Young Adult Reference,Dongan Hills Young Adult Reference,Branch,,,dh,,false,,,true,,
dhzzz,Dongan Hills,Dongan Hills (error code),Branch,,,dh,,false,,,true,,
dy,Spuyten Duyvil,Spuyten Duyvil,Branch,,,dy,,false,,,true,,
dya,Spuyten Duyvil Adult,Spuyten Duyvil Adult,Branch,,,dy,,false,,,true,,
dya01,Spuyten Duyvil Reference,Spuyten Duyvil Reference,Branch,,,dy,,false,,,true,,
dya03,Spuyten Duyvil Closed Shelf Reference,Spuyten Duyvil Closed Shelf Reference,Branch,,,dy,,false,,,true,,
dya0f,Spuyten Duyvil Fiction,Spuyten Duyvil Fiction,Branch,,,dy,,false,,,true,,
dya0l,Spuyten Duyvil World Languages,Spuyten Duyvil World Languages,Branch,,,dy,,false,,,true,,
dya0n,Spuyten Duyvil Non-Fiction,Spuyten Duyvil Non-Fiction,Branch,,,dy,,false,,,true,,
dya0v,Spuyten Duyvil Non-Print Media,Spuyten Duyvil Non-Print Media,Branch,,,dy,,false,,,true,,
dyar,Spuyten Duyvil Adult Reference,Spuyten Duyvil Adult Reference,Branch,,,dy,,false,,,true,,
dyj,Spuyten Duyvil Children,Spuyten Duyvil Children,Branch,,,dy,,false,,,true,,
dyj01,Spuyten Duyvil Children's Reading Room,Spuyten Duyvil Children's Reading Room,Branch,,,dy,,false,,,true,,
dyj0a,Spuyten Duyvil Children's Easy Book,Spuyten Duyvil Children's Easy Book,Branch,,,dy,,false,,,true,,
dyj0f,Spuyten Duyvil Children's Fiction,Spuyten Duyvil Children's Fiction,Branch,,,dy,,false,,,true,,
dyj0h,Spuyten Duyvil Children's Holiday Book,Spuyten Duyvil Children's Holiday Book,Branch,,,dy,,false,,,true,,
dyj0i,Spuyten Duyvil Children's Picture Book,Spuyten Duyvil Children's Picture Book,Branch,,,dy,,false,,,true,,
dyj0l,Spuyten Duyvil Children's World Languages,Spuyten Duyvil Children's World Languages,Branch,,,dy,,false,,,true,,
dyj0n,Spuyten Duyvil Children's Non-Fiction,Spuyten Duyvil Children's Non-Fiction,Branch,,,dy,,false,,,true,,
dyj0t,Spuyten Duyvil Children's Fairy Tale,Spuyten Duyvil Children's Fairy Tale,Branch,,,dy,,false,,,true,,
dyj0v,Spuyten Duyvil Children's Non-Print Media,Spuyten Duyvil Children's Non-Print Media,Branch,,,dy,,false,,,true,,
dyj0y,Spuyten Duyvil Children's Young Reader,Spuyten Duyvil Children's Young Reader,Branch,,,dy,,false,,,true,,
dyjlf,Spuyten Duyvil Children's Read-Along Book Fiction,Spuyten Duyvil Children's Read-Along Book Fiction,Branch,,,dy,,false,,,true,,
dyjln,Spuyten Duyvil Children's Read-Along Book Non-Fiction,Spuyten Duyvil Children's Read-Along Book Non-Fiction,Branch,,,dy,,false,,,true,,
dyjr,Spuyten Duyvil Children's Reference,Spuyten Duyvil Children's Reference,Branch,,,dy,,false,,,true,,
dyy,Spuyten Duyvil Young Adult,Spuyten Duyvil Young Adult,Branch,,,dy,,false,,,true,,
dyy01,Spuyten Duyvil YA Reference,Spuyten Duyvil YA Reference,Branch,,,dy,,false,,,true,,
dyy0f,Spuyten Duyvil YA Fiction,Spuyten Duyvil YA Fiction,Branch,,,dy,,false,,,true,,
dyy0l,Spuyten Duyvil YA World Languages,Spuyten Duyvil YA World Languages,Branch,,,dy,,false,,,true,,
dyy0n,Spuyten Duyvil YA Non-Fiction,Spuyten Duyvil YA Non-Fiction,Branch,,,dy,,false,,,true,,
dyy0v,Spuyten Duyvil YA Non-Print Media,Spuyten Duyvil YA Non-Print Media,Branch,,,dy,,false,,,true,,
dyyr,Spuyten Duyvil Young Adult Reference,Spuyten Duyvil Young Adult Reference,Branch,,,dy,,false,,,true,,
dyzzz,Spuyten Duyvil,Spuyten Duyvil (error code),Branch,,,dy,,false,,,true,,
ea,Eastchester,Eastchester,Branch,,,ea,,false,,,true,,
eaa,Eastchester Adult,Eastchester Adult,Branch,,,ea,,false,,,true,,
eaa01,Eastchester Reference,Eastchester Reference,Branch,,,ea,,false,,,true,,
eaa03,Eastchester Closed Shelf Reference,Eastchester Closed Shelf Reference,Branch,,,ea,,false,,,true,,
eaa0f,Eastchester Fiction,Eastchester Fiction,Branch,,,ea,,false,,,true,,
eaa0l,Eastchester World Languages,Eastchester World Languages,Branch,,,ea,,false,,,true,,
eaa0n,Eastchester Non-Fiction,Eastchester Non-Fiction,Branch,,,ea,,false,,,true,,
eaa0v,Eastchester Non-Print Media,Eastchester Non-Print Media,Branch,,,ea,,false,,,true,,
eaar,Eastchester Adult Reference,Eastchester Adult Reference,Branch,,,ea,,false,,,true,,
eaj,Eastchester Children,Eastchester Children,Branch,,,ea,,false,,,true,,
eaj01,Eastchester Children's Reference,Eastchester Children's Reference,Branch,,,ea,,false,,,true,,
eaj0a,Eastchester Children's Easy Book,Eastchester Children's Easy Book,Branch,,,ea,,false,,,true,,
eaj0f,Eastchester Children's Fiction,Eastchester Children's Fiction,Branch,,,ea,,false,,,true,,
eaj0h,Eastchester Children's Holiday Book,Eastchester Children's Holiday Book,Branch,,,ea,,false,,,true,,
eaj0i,Eastchester Children's Picture Book,Eastchester Children's Picture Book,Branch,,,ea,,false,,,true,,
eaj0l,Eastchester Children's World Languages,Eastchester Children's World Languages,Branch,,,ea,,false,,,true,,
eaj0n,Eastchester Children's Non-Fiction,Eastchester Children's Non-Fiction,Branch,,,ea,,false,,,true,,
eaj0t,Eastchester Children's Fairy Tale,Eastchester Children's Fairy Tale,Branch,,,ea,,false,,,true,,
eaj0v,Eastchester Children's Non-Print Media,Eastchester Children's Non-Print Media,Branch,,,ea,,false,,,true,,
eaj0y,Eastchester Children's Young Reader,Eastchester Children's Young Reader,Branch,,,ea,,false,,,true,,
eajlf,Eastchester Children's Read-Along Book Fiction,Eastchester Children's Read-Along Book Fiction,Branch,,,ea,,false,,,true,,
eajln,Eastchester Children's Read-Along Book Non-Fiction,Eastchester Children's Read-Along Book Non-Fiction,Branch,,,ea,,false,,,true,,
eajr,Eastchester Children's Reference,Eastchester Children's Reference,Branch,,,ea,,false,,,true,,
eay,Eastchester Young Adult,Eastchester Young Adult,Branch,,,ea,,false,,,true,,
eay01,Eastchester YA Reference,Eastchester YA Reference,Branch,,,ea,,false,,,true,,
eay0f,Eastchester YA Fiction,Eastchester YA Fiction,Branch,,,ea,,false,,,true,,
eay0l,Eastchester YA World Languages,Eastchester YA World Languages,Branch,,,ea,,false,,,true,,
eay0n,Eastchester YA Non-Fiction,Eastchester YA Non-Fiction,Branch,,,ea,,false,,,true,,
eay0v,Eastchester YA Non-Print Media,Eastchester YA Non-Print Media,Branch,,,ea,,false,,,true,,
eayr,Eastchester Young Adult Reference,Eastchester Young Adult Reference,Branch,,,ea,,false,,,true,,
eazzz,Eastchester,Eastchester (error code),Branch,,,ea,,false,,,true,,
eb,E-Branch,E-Branch,,,,eb,,false,,,true,,
ed,Library Services Center Educator Collection,LSC Educator Collection,Branch,,,ed,,false,,,true,,
eduls,Library Services Center Educator Collection,LSC Educator Collection,Branch,,,ed,,false,,,true,,
ep,Epiphany,Epiphany,Branch,,,ep,,false,,,true,,
epa,Epiphany Adult,Epiphany Adult,Branch,,,ep,,false,,,true,,
epa01,Epiphany Reference,Epiphany Reference,Branch,,,ep,,false,,,true,,
epa03,Epiphany Closed Shelf Reference,Epiphany Closed Shelf Reference,Branch,,,ep,,false,,,true,,
epa0f,Epiphany Fiction,Epiphany Fiction,Branch,,,ep,,false,,,true,,
epa0l,Epiphany World Languages,Epiphany World Languages,Branch,,,ep,,false,,,true,,
epa0n,Epiphany Non-Fiction,Epiphany Non-Fiction,Branch,,,ep,,false,,,true,,
epa0v,Epiphany Non-Print Media,Epiphany Non-Print Media,Branch,,,ep,,false,,,true,,
epar,Epiphany Adult Reference,Epiphany Adult Reference,Branch,,,ep,,false,,,true,,
epj,Epiphany Children,Epiphany Children,Branch,,,ep,,false,,,true,,
epj01,Epiphany Children's Reference,Epiphany Children's Reference,Branch,,,ep,,false,,,true,,
epj0a,Epiphany Children's Easy Book,Epiphany Children's Easy Book,Branch,,,ep,,false,,,true,,
epj0f,Epiphany Children's Fiction,Epiphany Children's Fiction,Branch,,,ep,,false,,,true,,
epj0h,Epiphany Children's Holiday Book,Epiphany Children's Holiday Book,Branch,,,ep,,false,,,true,,
epj0i,Epiphany Children's Picture Book,Epiphany Children's Picture Book,Branch,,,ep,,false,,,true,,
epj0l,Epiphany Children's World Languages,Epiphany Children's World Languages,Branch,,,ep,,false,,,true,,
epj0n,Epiphany Children's Non-Fiction,Epiphany Children's Non-Fiction,Branch,,,ep,,false,,,true,,
epj0t,Epiphany Children's Fairy Tale,Epiphany Children's Fairy Tale,Branch,,,ep,,false,,,true,,
epj0v,Epiphany Children's Non-Print Media,Epiphany Children's Non-Print Media,Branch,,,ep,,false,,,true,,
epj0y,Epiphany Children's Young Reader,Epiphany Children's Young Reader,Branch,,,ep,,false,,,true,,
epjlf,Epiphany Children's Read-Along Book Fiction,Epiphany Children's Read-Along Book Fiction,Branch,,,ep,,false,,,true,,
epjln,Epiphany Children's Read-Along Book Non-Fiction,Epiphany Children's Read-Along Book Non-Fiction,Branch,,,ep,,false,,,true,,
epjr,Epiphany Children's Reference,Epiphany Children's Reference,Branch,,,ep,,false,,,true,,
epy,Epiphany Young Adult,Epiphany Young Adult,Branch,,,ep,,false,,,true,,
epy01,Epiphany YA Reference,Epiphany YA Reference,Branch,,,ep,,false,,,true,,
epy0f,Epiphany YA Fiction,Epiphany YA Fiction,Branch,,,ep,,false,,,true,,
epy0l,Epiphany YA World Languages,Epiphany YA World Languages,Branch,,,ep,,false,,,true,,
epy0n,Epiphany YA Non-Fiction,Epiphany YA Non-Fiction,Branch,,,ep,,false,,,true,,
epy0v,Epiphany YA Non-Print Media,Epiphany YA Non-Print Media,Branch,,,ep,,false,,,true,,
epyr,Epiphany Young Adult Reference,Epiphany Young Adult Reference,Branch,,,ep,,false,,,true,,
epzzz,Epiphany,Epiphany (error code),Branch,,,ep,,false,,,true,,
ew,Edenwald,Edenwald,Branch,,,ew,,false,,,true,,
ewa,Edenwald Adult,Edenwald Adult,Branch,,,ew,,false,,,true,,
ewa01,Edenwald Reference,Edenwald Reference,Branch,,,ew,,false,,,true,,
ewa03,Edenwald Closed Shelf Reference,Edenwald Closed Shelf Reference,Branch,,,ew,,false,,,true,,
ewa0f,Edenwald Fiction,Edenwald Fiction,Branch,,,ew,,false,,,true,,
ewa0l,Edenwald World Languages,Edenwald World Languages,Branch,,,ew,,false,,,true,,
ewa0n,Edenwald Non-Fiction,Edenwald Non-Fiction,Branch,,,ew,,false,,,true,,
ewa0v,Edenwald Non-Print Media,Edenwald Non-Print Media,Branch,,,ew,,false,,,true,,
ewar,Edenwald Adult Reference,Edenwald Adult Reference,Branch,,,ew,,false,,,true,,
ewj,Edenwald Children,Edenwald Children,Branch,,,ew,,false,,,true,,
ewj01,Edenwald Children's Reference,Edenwald Children's Reference,Branch,,,ew,,false,,,true,,
ewj0a,Edenwald Children's Easy Book,Edenwald Children's Easy Book,Branch,,,ew,,false,,,true,,
ewj0f,Edenwald Children's Fiction,Edenwald Children's Fiction,Branch,,,ew,,false,,,true,,
ewj0h,Edenwald Children's Holiday Book,Edenwald Children's Holiday Book,Branch,,,ew,,false,,,true,,
ewj0i,Edenwald Children's Picture Book,Edenwald Children's Picture Book,Branch,,,ew,,false,,,true,,
ewj0l,Edenwald Children's World Languages,Edenwald Children's World Languages,Branch,,,ew,,false,,,true,,
ewj0n,Edenwald Children's Non-Fiction,Edenwald Children's Non-Fiction,Branch,,,ew,,false,,,true,,
ewj0t,Edenwald Children's Fairy Tale,Edenwald Children's Fairy Tale,Branch,,,ew,,false,,,true,,
ewj0v,Edenwald Children's Non-Print Media,Edenwald Children's Non-Print Media,Branch,,,ew,,false,,,true,,
ewj0y,Edenwald Children's Young Reader,Edenwald Children's Young Reader,Branch,,,ew,,false,,,true,,
ewjlf,Edenwald Children's Read-Along Book Fiction,Edenwald Children's Read-Along Book Fiction,Branch,,,ew,,false,,,true,,
ewjln,Edenwald Children's Read-Along Book Non-Fiction,Edenwald Children's Read-Along Book Non-Fiction,Branch,,,ew,,false,,,true,,
ewjr,Edenwald Children's Reference,Edenwald Children's Reference,Branch,,,ew,,false,,,true,,
ewy,Edenwald Young Adult,Edenwald Young Adult,Branch,,,ew,,false,,,true,,
ewy01,Edenwald YA Reference,Edenwald YA Reference,Branch,,,ew,,false,,,true,,
ewy0f,Edenwald YA Fiction,Edenwald YA Fiction,Branch,,,ew,,false,,,true,,
ewy0l,Edenwald YA World Languages,Edenwald YA World Languages,Branch,,,ew,,false,,,true,,
ewy0n,Edenwald YA Non-Fiction,Edenwald YA Non-Fiction,Branch,,,ew,,false,,,true,,
ewy0v,Edenwald YA Non-Print Media,Edenwald YA Non-Print Media,Branch,,,ew,,false,,,true,,
ewyr,Edenwald Young Adult Reference,Edenwald Young Adult Reference,Branch,,,ew,,false,,,true,,
ewzzz,Edenwald,Edenwald (error code),Branch,,,ew,,false,,,true,,
fe,58th Street,58th Street,Branch,,,fe,,false,,,true,,
fea,58th Street Adult,58th Street Adult,Branch,,,fe,,false,,,true,,
fea01,58th Street Reference,58th Street Reference,Branch,,,fe,,false,,,true,,
fea03,58th Street Closed Shelf Reference,58th Street Closed Shelf Reference,Branch,,,fe,,false,,,true,,
fea0f,58th Street Fiction,58th Street Fiction,Branch,,,fe,,false,,,true,,
fea0l,58th Street World Languages,58th Street World Languages,Branch,,,fe,,false,,,true,,
fea0n,58th Street Non-Fiction,58th Street Non-Fiction,Branch,,,fe,,false,,,true,,
fea0v,58th Street Non-Print Media,58th Street Non-Print Media,Branch,,,fe,,false,,,true,,
fear,58th Street Adult Reference,58th Street Adult Reference,Branch,,,fe,,false,,,true,,
fej,58th Street Children,58th Street Children,Branch,,,fe,,false,,,true,,
fej01,58th Street Children's Reference,58th Street Children's Reference,Branch,,,fe,,false,,,true,,
fej0a,58th Street Children's Easy Book,58th Street Children's Easy Book,Branch,,,fe,,false,,,true,,
fej0f,58th Street Children's Fiction,58th Street Children's Fiction,Branch,,,fe,,false,,,true,,
fej0h,58th Street Children's Holiday Book,58th Street Children's Holiday Book,Branch,,,fe,,false,,,true,,
fej0i,58th Street Children's Picture Book,58th Street Children's Picture Book,Branch,,,fe,,false,,,true,,
fej0l,58th Street Children's World Languages,58th Street Children's World Languages,Branch,,,fe,,false,,,true,,
fej0n,58th Street Children's Non-Fiction,58th Street Children's Non-Fiction,Branch,,,fe,,false,,,true,,
fej0t,58th Street Children's Fairy Tale,58th Street Children's Fairy Tale,Branch,,,fe,,false,,,true,,
fej0v,58th Street Children's Non-Print Media,58th Street Children's Non-Print Media,Branch,,,fe,,false,,,true,,
fej0y,58th Street Children's Young Reader,58th Street Children's Young Reader,Branch,,,fe,,false,,,true,,
fejlf,58th Street Children's Read-Along Book Fiction,58th Street Children's Read-Along Book Fiction,Branch,,,fe,,false,,,true,,
fejln,58th Street Children's Read-Along Book Non-Fiction,58th Street Children's Read-Along Book Non-Fiction,Branch,,,fe,,false,,,true,,
fejr,58th Street Children's Reference,58th Street Children's Reference,Branch,,,fe,,false,,,true,,
fey,58th Street Young Adult,58th Street Young Adult,Branch,,,fe,,false,,,true,,
fey01,58th Street YA Reference,58th Street YA Reference,Branch,,,fe,,false,,,true,,
fey0f,58th Street YA Fiction,58th Street YA Fiction,Branch,,,fe,,false,,,true,,
fey0l,58th Street YA World Languages,58th Street YA World Languages,Branch,,,fe,,false,,,true,,
fey0n,58th Street YA Non-Fiction,58th Street YA Non-Fiction,Branch,,,fe,,false,,,true,,
fey0v,58th Street YA Non-Print Media,58th Street YA Non-Print Media,Branch,,,fe,,false,,,true,,
feyr,58th Street Young Adult Reference,58th Street Young Adult Reference,Branch,,,fe,,false,,,true,,
fezzz,58th Street,58th Street (error code),Branch,,,fe,,false,,,true,,
ft,53rd Street Branch,53rd Street Branch,Branch,,,ft,,false,,,true,,
fta,53rd Street Adult,53rd Street Adult,Branch,,,ft,,false,,,true,,
fta01,53rd Street Reference,53rd Street Reference,Branch,,,ft,,false,,,true,,
fta03,53rd Street Closed Shelf Reference,53rd Street Closed Shelf Reference,Branch,,,ft,,false,,,true,,
fta0f,53rd Street Fiction,53rd Street Fiction,Branch,,,ft,,false,,,true,,
fta0l,53rd Street World Languages,53rd Street World Languages,Branch,,,ft,,false,,,true,,
fta0n,53rd Street Non-Fiction,53rd Street Non-Fiction,Branch,,,ft,,false,,,true,,
fta0v,53rd Street Non-Print Media,53rd Street Non-Print Media,Branch,,,ft,,false,,,true,,
ftar,53rd Street Adult Reference,53rd Street Adult Reference,Branch,,,ft,,false,,,true,,
ftj,53rd Street Children,53rd Street Children,Branch,,,ft,,false,,,true,,
ftj01,53rd Street Children's Reference,53rd Street Children's Reference,Branch,,,ft,,false,,,true,,
ftj0a,53rd Street Children's Easy Book,53rd Street Children's Easy Book,Branch,,,ft,,false,,,true,,
ftj0f,53rd Street Children's Fiction,53rd Street Children's Fiction,Branch,,,ft,,false,,,true,,
ftj0h,53rd Street Children's Holiday Book,53rd Street Children's Holiday Book,Branch,,,ft,,false,,,true,,
ftj0i,53rd Street Children's Picture Book,53rd Street Children's Picture Book,Branch,,,ft,,false,,,true,,
ftj0l,53rd Street Children's World Languages,53rd Street Children's World Languages,Branch,,,ft,,false,,,true,,
ftj0n,53rd Street Children's Non-Fiction,53rd Street Children's Non-Fiction,Branch,,,ft,,false,,,true,,
ftj0t,53rd Street Children's Fairy Tale,53rd Street Children's Fairy Tale,Branch,,,ft,,false,,,true,,
ftj0v,53rd Street Children's Non-Print Media,53rd Street Children's Non-Print Media,Branch,,,ft,,false,,,true,,
ftj0y,53rd Street Children's Young Reader,53rd Street Children's Young Reader,Branch,,,ft,,false,,,true,,
ftjlf,53rd Street Children's Read-Along Book Fiction,53rd Street Children's Read-Along Book Fiction,Branch,,,ft,,false,,,true,,
ftjln,53rd Street Children's Read-Along Book Non-Fiction,53rd Street Children's Read-Along Book Non-Fiction,Branch,,,ft,,false,,,true,,
ftjr,53rd Street Children's Reference,53rd Street Children's Reference,Branch,,,ft,,false,,,true,,
fty,53rd Street Young Adult,53rd Street Young Adult,Branch,,,ft,,false,,,true,,
fty01,53rd Street YA Reference,53rd Street YA Reference,Branch,,,ft,,false,,,true,,
fty0f,53rd Street YA Fiction,53rd Street YA Fiction,Branch,,,ft,,false,,,true,,
fty0l,53rd Street YA World Languages,53rd Street YA World Languages,Branch,,,ft,,false,,,true,,
fty0n,53rd Street YA Non-Fiction,53rd Street YA Non-Fiction,Branch,,,ft,,false,,,true,,
fty0v,53rd Street YA Non-Print Media,53rd Street YA Non-Print Media,Branch,,,ft,,false,,,true,,
ftyr,53rd Street Young Adult Reference,53rd Street Young Adult Reference,Branch,,,ft,,false,,,true,,
ftzzz,53rd Street,53rd Street (error code),Branch,,,ft,,false,,,true,,
fw,Fort Washington,Fort Washington,Branch,,,fw,,false,,,true,,
fwa,Fort Washington Adult,Fort Washington Adult,Branch,,,fw,,false,,,true,,
fwa01,Fort Washington Reference,Fort Washington Reference,Branch,,,fw,,false,,,true,,
fwa03,Fort Washington Closed Shelf Reference,Fort Washington Closed Shelf Reference,Branch,,,fw,,false,,,true,,
fwa0f,Fort Washington Fiction,Fort Washington Fiction,Branch,,,fw,,false,,,true,,
fwa0l,Fort Washington World Languages,Fort Washington World Languages,Branch,,,fw,,false,,,true,,
fwa0n,Fort Washington Non-Fiction,Fort Washington Non-Fiction,Branch,,,fw,,false,,,true,,
fwa0v,Fort Washington Non-Print Media,Fort Washington Non-Print Media,Branch,,,fw,,false,,,true,,
fwa0w,Fort Washington Adult Learning Center,Fort Washington Adult Learning Center,Branch,,,fw,,false,,,true,,
fwar,Fort Washington Adult Reference,Fort Washington Adult Reference,Branch,,,fw,,false,,,true,,
fwj,Fort Washington Children,Fort Washington Children,Branch,,,fw,,false,,,true,,
fwj01,Fort Washington Children's Reference,Fort Washington Children's Reference,Branch,,,fw,,false,,,true,,
fwj0a,Fort Washington Children's Easy Book,Fort Washington Children's Easy Book,Branch,,,fw,,false,,,true,,
fwj0f,Fort Washington Children's Fiction,Fort Washington Children's Fiction,Branch,,,fw,,false,,,true,,
fwj0h,Fort Washington Children's Holiday Book,Fort Washington Children's Holiday Book,Branch,,,fw,,false,,,true,,
fwj0i,Fort Washington Children's Picture Book,Fort Washington Children's Picture Book,Branch,,,fw,,false,,,true,,
fwj0l,Fort Washington Children's World Languages,Fort Washington Children's World Languages,Branch,,,fw,,false,,,true,,
fwj0n,Fort Washington Children's Non-Fiction,Fort Washington Children's Non-Fiction,Branch,,,fw,,false,,,true,,
fwj0t,Fort Washington Children's Fairy Tale,Fort Washington Children's Fairy Tale,Branch,,,fw,,false,,,true,,
fwj0v,Fort Washington Children's Non-Print Media,Fort Washington Children's Non-Print Media,Branch,,,fw,,false,,,true,,
fwj0y,Fort Washington Children's Young Reader,Fort Washington Children's Young Reader,Branch,,,fw,,false,,,true,,
fwjlf,Fort Washington Children Read-Along Book Fiction,Fort Washington Children Read-Along Book Fiction,Branch,,,fw,,false,,,true,,
fwjln,Fort Washington Children's Read-Along Book Non-Fiction,Fort Washington Children's Read-Along Book Non-Fiction,Branch,,,fw,,false,,,true,,
fwjr,Fort Washington Children's Reference,Fort Washington Children's Reference,Branch,,,fw,,false,,,true,,
fwy,Fort Washington Young Adult,Fort Washington Young Adult,Branch,,,fw,,false,,,true,,
fwy01,Fort Washington YA Reference,Fort Washington YA Reference,Branch,,,fw,,false,,,true,,
fwy0f,Fort Washington YA Fiction,Fort Washington YA Fiction,Branch,,,fw,,false,,,true,,
fwy0l,Fort Washington YA World Languages,Fort Washington YA World Languages,Branch,,,fw,,false,,,true,,
fwy0n,Fort Washington YA Non-Fiction,Fort Washington YA Non-Fiction,Branch,,,fw,,false,,,true,,
fwy0v,Fort Washington YA Non-Print Media,Fort Washington YA Non-Print Media,Branch,,,fw,,false,,,true,,
fwyr,Fort Washington Young Adult Reference,Fort Washington Young Adult Reference,Branch,,,fw,,false,,,true,,
fwzzz,Fort Washington,Fort Washington (error code),Branch,,,fw,,false,,,true,,
fx,Francis Martin,Francis Martin,Branch,,,fx,,false,,,true,,
fxa,Francis Martin Adult,Francis Martin Adult,Branch,,,fx,,false,,,true,,
fxa01,Francis Martin Reference,Francis Martin Reference,Branch,,,fx,,false,,,true,,
fxa03,Francis Martin Closed Shelf Reference,Francis Martin Closed Shelf Reference,Branch,,,fx,,false,,,true,,
fxa0f,Francis Martin Fiction,Francis Martin Fiction,Branch,,,fx,,false,,,true,,
fxa0l,Francis Martin World Languages,Francis Martin World Languages,Branch,,,fx,,false,,,true,,
fxa0n,Francis Martin Non-Fiction,Francis Martin Non-Fiction,Branch,,,fx,,false,,,true,,
fxa0v,Francis Martin Non-Print Media,Francis Martin Non-Print Media,Branch,,,fx,,false,,,true,,
fxar,Francis Martin Adult Reference,Francis Martin Adult Reference,Branch,,,fx,,false,,,true,,
fxatf,Francis Martin ThriveNYC Adult Fiction,Francis Martin ThriveNYC Adult Fiction,Branch,,,fx,,false,,,true,,
fxatn,Francis Martin ThriveNYC Adult Non-Fiction,Francis Martin ThriveNYC Adult Non-Fiction,Branch,,,fx,,false,,,true,,
fxj,Francis Martin Children,Francis Martin Children,Branch,,,fx,,false,,,true,,
fxj01,Francis Martin Children's Reference,Francis Martin Children's Reference,Branch,,,fx,,false,,,true,,
fxj0a,Francis Martin Children's Easy Book,Francis Martin Children's Easy Book,Branch,,,fx,,false,,,true,,
fxj0f,Francis Martin Children's Fiction,Francis Martin Children's Fiction,Branch,,,fx,,false,,,true,,
fxj0h,Francis Martin Children's Holiday Book,Francis Martin Children's Holiday Book,Branch,,,fx,,false,,,true,,
fxj0i,Francis Martin Children's Picture Book,Francis Martin Children's Picture Book,Branch,,,fx,,false,,,true,,
fxj0l,Francis Martin Children's World Languages,Francis Martin Children's World Languages,Branch,,,fx,,false,,,true,,
fxj0n,Francis Martin Children's Non-Fiction,Francis Martin Children's Non-Fiction,Branch,,,fx,,false,,,true,,
fxj0t,Francis Martin Children's Fairy Tale,Francis Martin Children's Fairy Tale,Branch,,,fx,,false,,,true,,
fxj0v,Francis Martin Children's Non-Print Media,Francis Martin Children's Non-Print Media,Branch,,,fx,,false,,,true,,
fxj0y,Francis Martin Children's Young Reader,Francis Martin Children's Young Reader,Branch,,,fx,,false,,,true,,
fxjlf,Francis Martin Children's Read-Along Book Fiction,Francis Martin Children's Read-Along Book Fiction,Branch,,,fx,,false,,,true,,
fxjln,Francis Martin Children's Read-Along Book Non-Fiction,Francis Martin Children's Read-Along Book Non-Fiction,Branch,,,fx,,false,,,true,,
fxjr,Francis Martin Children's Reference,Francis Martin Children's Reference,Branch,,,fx,,false,,,true,,
fxy,Francis Martin Young Adult,Francis Martin Young Adult,Branch,,,fx,,false,,,true,,
fxy01,Francis Martin YA Reference,Francis Martin YA Reference,Branch,,,fx,,false,,,true,,
fxy0f,Francis Martin YA Fiction,Francis Martin YA Fiction,Branch,,,fx,,false,,,true,,
fxy0l,Francis Martin YA World Languages,Francis Martin YA World Languages,Branch,,,fx,,false,,,true,,
fxy0n,Francis Martin YA Non-Fiction,Francis Martin YA Non-Fiction,Branch,,,fx,,false,,,true,,
fxy0v,Francis Martin YA Non-Print Media,Francis Martin YA Non-Print Media,Branch,,,fx,,false,,,true,,
fxyr,Francis Martin Young Adult Reference,Francis Martin Young Adult Reference,Branch,,,fx,,false,,,true,,
fxzzz,Francis Martin,Francis Martin (error code),Branch,,,fx,,false,,,true,,
gc,Grand Central,Grand Central,Branch,,,gc,,false,,,true,,
gca,Grand Central Adult,Grand Central Adult,Branch,,,gc,,false,,,true,,
gca01,Grand Central Reference,Grand Central Reference,Branch,,,gc,,false,,,true,,
gca03,Grand Central Closed Shelf Reference,Grand Central Closed Shelf Reference,Branch,,,gc,,false,,,true,,
gca0f,Grand Central Fiction,Grand Central Fiction,Branch,,,gc,,false,,,true,,
